Origen,Destino,Peso
Nodo_30,Nodo_48,781
Nodo_13,Nodo_48,919
Nodo_25,Nodo_18,1
Nodo_14,Nodo_48,314
Nodo_29,Nodo_49,696
Nodo_23,Nodo_45,941
Nodo_14,Nodo_50,448
Nodo_28,Nodo_24,823
Nodo_25,Nodo_23,416
Nodo_45,Nodo_26,533
Nodo_50,Nodo_46,953
Nodo_7,Nodo_11,7
Nodo_35,Nodo_47,459
Nodo_4,Nodo_26,415
Nodo_23,Nodo_6,695
Nodo_8,Nodo_13,520
Nodo_10,Nodo_19,233
Nodo_17,Nodo_6,446
Nodo_33,Nodo_13,877
Nodo_36,Nodo_31,583
Nodo_46,Nodo_35,925
Nodo_10,Nodo_47,832
Nodo_47,Nodo_12,358
Nodo_21,Nodo_15,184
Nodo_28,Nodo_23,587
Nodo_1,Nodo_19,790
Nodo_25,Nodo_26,783
Nodo_21,Nodo_47,2
Nodo_8,Nodo_28,549
Nodo_38,Nodo_7,885
Nodo_17,Nodo_10,710
Nodo_24,Nodo_41,954
Nodo_42,Nodo_45,142
Nodo_25,Nodo_38,473
Nodo_4,Nodo_9,382
Nodo_45,Nodo_39,970
Nodo_5,Nodo_27,536
Nodo_1,Nodo_34,793
Nodo_41,Nodo_44,922
Nodo_29,Nodo_5,236
Nodo_15,Nodo_43,913
Nodo_29,Nodo_24,802
Nodo_19,Nodo_32,448
Nodo_17,Nodo_48,207
Nodo_10,Nodo_27,655
Nodo_18,Nodo_32,697
Nodo_17,Nodo_36,161
Nodo_14,Nodo_37,606
Nodo_35,Nodo_19,746
Nodo_14,Nodo_29,359
Nodo_20,Nodo_7,781
Nodo_30,Nodo_43,448
Nodo_28,Nodo_43,941
Nodo_49,Nodo_44,750
Nodo_29,Nodo_37,247
Nodo_8,Nodo_3,409
Nodo_1,Nodo_48,13
Nodo_14,Nodo_7,730
Nodo_15,Nodo_21,423
Nodo_33,Nodo_17,369
Nodo_37,Nodo_43,341
Nodo_13,Nodo_43,362
Nodo_14,Nodo_3,513
Nodo_6,Nodo_13,674
Nodo_28,Nodo_37,612
Nodo_13,Nodo_9,605
Nodo_30,Nodo_40,3
Nodo_1,Nodo_44,225
Nodo_27,Nodo_44,608
Nodo_6,Nodo_38,572
Nodo_11,Nodo_43,731
Nodo_9,Nodo_21,856
Nodo_18,Nodo_50,434
Nodo_43,Nodo_4,448
Nodo_33,Nodo_22,114
Nodo_28,Nodo_5,377
Nodo_41,Nodo_8,956
Nodo_39,Nodo_27,367
Nodo_15,Nodo_38,369
Nodo_7,Nodo_6,497
Nodo_26,Nodo_14,484
Nodo_25,Nodo_50,177
Nodo_36,Nodo_11,452
Nodo_36,Nodo_12,293
Nodo_1,Nodo_14,895
Nodo_40,Nodo_49,842
Nodo_12,Nodo_46,871
Nodo_11,Nodo_39,888
Nodo_24,Nodo_15,2
Nodo_4,Nodo_7,877
Nodo_20,Nodo_28,90
Nodo_28,Nodo_1,284
Nodo_5,Nodo_41,517
Nodo_29,Nodo_39,859
Nodo_43,Nodo_34,568
Nodo_11,Nodo_19,795
Nodo_12,Nodo_1,602
Nodo_26,Nodo_9,824
Nodo_33,Nodo_31,642
Nodo_11,Nodo_23,123
Nodo_7,Nodo_14,583
Nodo_14,Nodo_10,887
Nodo_17,Nodo_13,736
Nodo_37,Nodo_8,78
Nodo_27,Nodo_35,172
